RECNO,Name,StaadName,AX,D,B,T,Iz,Iy,Ix,Zx,Zy
42,"TUB70304.0","TUB70304.0",6.9500000000000002e+00,7.0000000000000000e+01,3.0000000000000000e+01,4.0000000000000000e+00,3.7229999999999997e+01,9.4199999999999999e+00,2.5609999999999999e+01,1.0640000000000001e+01,6.2800000000000002e+00
43,"TUB80403.2","TUB80403.2",7.0099999999999998e+00,8.0000000000000000e+01,4.0000000000000000e+01,3.2000000000000002e+00,5.4939999999999998e+01,1.8410000000000000e+01,4.5000000000000000e+01,1.3740000000000000e+01,9.2100000000000009e+00
44,"TUB48484.5","TUB48484.5",7.3099999999999996e+00,4.8000000000000000e+01,4.8000000000000000e+01,4.5000000000000000e+00,2.2170000000000002e+01,2.2170000000000002e+01,3.9000000000000000e+01,9.2400000000000002e+00,9.2400000000000002e+00
45,"TUB65324.5","TUB65324.5",7.4000000000000004e+00,6.5000000000000000e+01,3.2000000000000000e+01,4.5000000000000000e+00,3.4359999999999999e+01,1.0880000000000001e+01,2.9960000000000001e+01,1.0570000000000000e+01,6.7999999999999998e+00
46,"TUB63633.2","TUB63633.2",7.4500000000000002e+00,6.3000000000000000e+01,6.3000000000000000e+01,3.2000000000000002e+00,4.4350000000000001e+01,4.4350000000000001e+01,7.0159999999999997e+01,1.3970000000000001e+01,1.3970000000000001e+01
47,"TUB49494.5","TUB49494.5",7.5800000000000001e+00,4.9000000000000000e+01,4.9000000000000000e+01,4.5000000000000000e+00,2.4640000000000001e+01,2.4640000000000001e+01,4.1009999999999998e+01,9.9600000000000009e+00,9.9600000000000009e+00
48,"TUB66334.5","TUB66334.5",7.5800000000000001e+00,6.6000000000000000e+01,3.3000000000000000e+01,4.5000000000000000e+00,3.6640000000000001e+01,1.1930000000000000e+01,3.0719999999999999e+01,1.1010000000000000e+01,7.2300000000000004e+00
49,"TUB63633.6","TUB63633.6",8.2899999999999991e+00,6.3000000000000000e+01,6.3000000000000000e+01,3.6000000000000001e+00,4.8549999999999997e+01,4.8549999999999997e+01,7.7370000000000005e+01,1.5289999999999999e+01,1.5289999999999999e+01
50,"TUB70703.25","TUB70703.25",8.4100000000000001e+00,7.0000000000000000e+01,7.0000000000000000e+01,3.2999999999999998e+00,6.1380000000000003e+01,6.1380000000000003e+01,9.9090000000000003e+01,1.7539999999999999e+01,1.7540000000000000e+03
51,"TUB94473.25","TUB94473.25",8.4700000000000006e+00,9.4000000000000000e+01,4.7000000000000000e+01,3.2999999999999998e+00,9.3359999999999999e+01,3.1469999999999999e+01,7.8140000000000001e+01,1.9859999999999999e+01,1.3390000000000001e+01
