RECNO,Name,StaadName,AX,D,B,T,Iz,Iy,Ix,Zx,Zy
76,"TUB90904.5","TUB90904.5",1.4869999999999999e+01,9.0000000000000000e+01,9.0000000000000000e+01,4.5000000000000000e+00,1.7787000000000000e+02,1.7787000000000000e+02,2.7957999999999998e+02,3.9530000000000001e+01,3.9530000000000001e+01
77,"TUB120604.5","TUB120604.5",1.4869999999999999e+01,1.2000000000000000e+02,6.0000000000000000e+01,4.5000000000000000e+00,2.6451999999999998e+02,8.8879999999999995e+01,2.1519999999999999e+02,4.4090000000000003e+01,2.9629999999999999e+01
78,"TUB127504.6","TUB127504.6",1.4890000000000001e+01,1.2700000000000000e+02,5.0000000000000000e+01,4.5999999999999996e+00,2.7632999999999998e+02,6.2460000000000001e+01,1.6930000000000001e+02,4.3520000000000003e+01,2.4980000000000000e+01
79,"TUB1001004.0","TUB1001004.0",1.4949999999999999e+01,1.0000000000000000e+02,1.0000000000000000e+02,4.0000000000000000e+00,2.2634999999999999e+02,2.2634999999999999e+02,3.5388999999999999e+02,4.5270000000000003e+01,4.5270000000000003e+01
80,"TUB89894.9","TUB89894.9",1.5850000000000000e+01,8.9000000000000000e+01,8.9000000000000000e+01,4.9000000000000004e+00,1.8256999999999999e+02,1.8256999999999999e+02,2.9042000000000002e+02,4.1070000000000000e+01,4.1070000000000000e+01
81,"TUB91914.5","TUB91914.5",1.5140000000000001e+01,9.1500000000000000e+01,9.1500000000000000e+01,4.5000000000000000e+00,1.8756999999999999e+02,1.8756999999999999e+02,2.9631999999999999e+02,4.1000000000000000e+01,4.1000000000000000e+01
82,"TUB122614.5","TUB122614.5",1.5140000000000001e+01,1.2200000000000000e+02,6.1000000000000000e+01,4.5000000000000000e+00,2.7894000000000000e+02,9.3780000000000001e+01,2.2796000000000001e+02,4.5729999999999997e+01,3.0699999999999999e+01
83,"TUB90905.4","TUB90905.4",1.7520000000000000e+01,9.0000000000000000e+01,9.0000000000000000e+01,5.4000000000000004e+00,2.0436000000000001e+02,2.0436000000000001e+02,3.2469000000000000e+02,4.5409999999999997e+01,4.5409999999999997e+01
84,"TUB120605.4","TUB120605.4",1.7520000000000000e+01,1.2000000000000000e+02,6.0000000000000000e+01,5.4000000000000004e+00,3.0400000000000000e+02,1.0133000000000000e+02,2.4853999999999999e+02,5.0670000000000002e+01,3.3780000000000001e+01
85,"TUB91915.4","TUB91915.4",1.7850000000000001e+01,9.1000000000000000e+01,9.1000000000000000e+01,5.4000000000000004e+00,2.1568000000000001e+02,2.1568000000000001e+02,3.4467000000000002e+02,4.7140000000000001e+01,4.7140000000000001e+01
