RECNO,Name,StaadName,D,B,T,AX,Rz,R1
104,"ISA100X100X10","ISA100X100X10",1.0000000000000000e+02,1.0000000000000000e+02,1.0000000000000000e+01,1.9030000000000001e+01,1.9399999999999999e+01,8.5000000000000000e+00
105,"ISA100X75X12","ISA100X75X12",1.0000000000000000e+02,7.5000000000000000e+01,1.2000000000000000e+01,1.9559999999999999e+01,1.5800000000000001e+01,8.5000000000000000e+00
106,"ISA90X90X12","ISA90X90X12",9.0000000000000000e+01,9.0000000000000000e+01,1.2000000000000000e+01,2.0190000000000001e+01,1.7399999999999999e+01,8.5000000000000000e+00
107,"ISA130X130X8","ISA130X130X8",1.3000000000000000e+02,1.3000000000000000e+02,8.0000000000000000e+00,2.0219999999999999e+01,2.5500000000000000e+01,1.0000000000000000e+01
108,"ISA150X115X8","ISA150X115X8",1.5000000000000000e+02,1.1500000000000000e+02,8.0000000000000000e+00,2.0579999999999998e+01,2.4500000000000000e+01,1.1000000000000000e+01
109,"ISA125X95X10","ISA125X95X10",1.2500000000000000e+02,9.5000000000000000e+01,1.0000000000000000e+01,2.1020000000000000e+01,2.0199999999999999e+01,9.0000000000000000e+00
110,"ISA110X110X10","ISA110X110X10",1.1000000000000000e+02,1.1000000000000000e+02,1.0000000000000000e+01,2.1059999999999999e+01,2.1399999999999999e+01,1.0000000000000000e+01
111,"ISA150X75X10","ISA150X75X10",1.5000000000000000e+02,7.5000000000000000e+01,1.0000000000000000e+01,2.1559999999999999e+01,1.5900000000000000e+01,1.0000000000000000e+01
112,"ISA100X100X12","ISA100X100X12",1.0000000000000000e+02,1.0000000000000000e+02,1.2000000000000000e+01,2.2590000000000000e+01,1.9399999999999999e+01,8.5000000000000000e+00
113,"ISA125X95X12","ISA125X95X12",1.2500000000000000e+02,9.5000000000000000e+01,1.2000000000000000e+01,2.4980000000000000e+01,2.0100000000000001e+01,9.0000000000000000e+00
114,"ISA110X110X12","ISA110X110X12",1.1000000000000000e+02,1.1000000000000000e+02,1.2000000000000000e+01,2.5020000000000000e+01,2.1300000000000001e+01,1.0000000000000000e+01
115,"ISA130X130X10","ISA130X130X10",1.3000000000000000e+02,1.3000000000000000e+02,1.0000000000000000e+01,2.5059999999999999e+01,2.5399999999999999e+01,1.0000000000000000e+01
116,"ISA150X115X10","ISA150X115X10",1.5000000000000000e+02,1.1500000000000000e+02,1.0000000000000000e+01,2.5520000000000000e+01,2.4399999999999999e+01,1.1000000000000000e+01
117,"ISA150X75X12","ISA150X75X12",1.5000000000000000e+02,7.5000000000000000e+01,1.2000000000000000e+01,2.5620000000000001e+01,1.5800000000000001e+01,1.0000000000000000e+01
118,"ISA200X100X10","ISA200X100X10",2.0000000000000000e+02,1.0000000000000000e+02,1.0000000000000000e+01,2.9030000000000001e+01,2.1399999999999999e+01,1.2000000000000000e+01
119,"ISA150X150X10","ISA150X150X10",1.5000000000000000e+02,1.5000000000000000e+02,1.0000000000000000e+01,2.9030000000000001e+01,2.9300000000000001e+01,1.2000000000000000e+01
120,"ISA130X130X12","ISA130X130X12",1.3000000000000000e+02,1.3000000000000000e+02,1.2000000000000000e+01,2.9820000000000000e+01,2.5399999999999999e+01,1.0000000000000000e+01
121,"ISA150X115X12","ISA150X115X12",1.5000000000000000e+02,1.1500000000000000e+02,1.2000000000000000e+01,3.0379999999999999e+01,2.4399999999999999e+01,1.1000000000000000e+01
122,"ISA110X110X15","ISA110X110X15",1.1000000000000000e+02,1.1000000000000000e+02,1.5000000000000000e+01,3.0809999999999999e+01,2.1300000000000001e+01,1.0000000000000000e+01
123,"ISA200X150X10","ISA200X150X10",2.0000000000000000e+02,1.5000000000000000e+02,1.0000000000000000e+01,3.4000000000000000e+01,3.2100000000000001e+01,1.3500000000000000e+01
124,"ISA200X100X12","ISA200X100X12",2.0000000000000000e+02,1.0000000000000000e+02,1.2000000000000000e+01,3.4590000000000003e+01,2.1300000000000001e+01,1.2000000000000000e+01
125,"ISA150X150X12","ISA150X150X12",1.5000000000000000e+02,1.5000000000000000e+02,1.2000000000000000e+01,3.4590000000000003e+01,2.9300000000000001e+01,1.2000000000000000e+01
126,"ISA130X130X15","ISA130X130X15",1.3000000000000000e+02,1.3000000000000000e+02,1.5000000000000000e+01,3.6810000000000002e+01,2.5300000000000001e+01,1.0000000000000000e+01
127,"ISA150X115X15","ISA150X115X15",1.5000000000000000e+02,1.1500000000000000e+02,1.5000000000000000e+01,3.7520000000000003e+01,2.4300000000000001e+01,1.1000000000000000e+01
128,"ISA200X150X12","ISA200X150X12",2.0000000000000000e+02,1.5000000000000000e+02,1.2000000000000000e+01,4.0560000000000002e+01,3.2100000000000001e+01,1.3500000000000000e+01
129,"ISA200X100X15","ISA200X100X15",2.0000000000000000e+02,1.0000000000000000e+02,1.5000000000000000e+01,4.2780000000000001e+01,2.1199999999999999e+01,1.2000000000000000e+01
130,"ISA150X150X15","ISA150X150X15",1.5000000000000000e+02,1.5000000000000000e+02,1.5000000000000000e+01,4.2780000000000001e+01,2.9199999999999999e+01,1.2000000000000000e+01
131,"ISA200X200X12","ISA200X200X12",2.0000000000000000e+02,2.0000000000000000e+02,1.2000000000000000e+01,4.6609999999999999e+01,3.9200000000000003e+01,1.5000000000000000e+01
132,"ISA200X150X15","ISA200X150X15",2.0000000000000000e+02,1.5000000000000000e+02,1.5000000000000000e+01,5.0250000000000000e+01,3.2000000000000000e+01,1.3500000000000000e+01
133,"ISA150X150X18","ISA150X150X18",1.5000000000000000e+02,1.5000000000000000e+02,1.8000000000000000e+01,5.0789999999999999e+01,2.9100000000000001e+01,1.2000000000000000e+01
134,"ISA200X200X15","ISA200X200X15",2.0000000000000000e+02,2.0000000000000000e+02,1.5000000000000000e+01,5.7799999999999997e+01,3.9100000000000001e+01,1.5000000000000000e+01
135,"ISA200X150X18","ISA200X150X18",2.0000000000000000e+02,1.5000000000000000e+02,1.8000000000000000e+01,5.9759999999999998e+01,3.1899999999999999e+01,1.3500000000000000e+01
136,"ISA200X200X18","ISA200X200X18",2.0000000000000000e+02,2.0000000000000000e+02,1.8000000000000000e+01,6.8810000000000002e+01,3.9000000000000000e+01,1.5000000000000000e+01
137,"ISA200X200X25","ISA200X200X25",2.0000000000000000e+02,2.0000000000000000e+02,2.5000000000000000e+01,9.3799999999999997e+01,3.8799999999999997e+01,1.5000000000000000e+01
